Page #,Song Name,Composer,Tonic,Mode,RangeStart,RangeEnd
379,SPAN OF LIFE,"S. M. Brown, 1869.",F#,minor,C#3,A5
380,LAWRENCEBURG,"T. J. Denson, 1935.",F,major,C3,F5
381,SING ON,"T. B. McGraw, 1935.",F,major,C3,F5
382,COSTON,"T. J. Denson, 1935.",F,major,F2,F5
383,ETERNAL DAY,"J. P. Reese, 1859.",D,minor,A2,F5
384,PANTING FOR HEAVEN,"S. M. Brown, 1869.",E-,major,B-2,G5
385b,CAN I LEAVE YOU?,"Arr. - J. P. Reese, 1859.",A,minor,A2,G5
385t,FIGHT ON,"J. P. Reese, 1859.",E,minor,B2,G5
386,CHRIST OUR SONG,"T. B. McGraw, 1935.",F,major,C3,F5
387,PENICK,"M. Sykes, 1857.",F,major,C3,F5
388,THE HAPPY SAILOR,"Arr. - B. F. White, 1859.",B-,major,B-2,G5
389,FREDERICKSBURG,"O.  H. Frederick, 1935.",G,major,G2,G5
390,NEW PROSPECT,"W. S. Turner, 1866.",G,major,G2,G5
391,SOUNDING JOY,"Justin Morgan, 1790.",E,major,B2,G#5
392,MANCHESTER,"Paine Denson, 1935.",E-,major,B-2,E-5
393,ALEXANDER,"Timothy R. Gilmore, 1986.",F,major,F2,F5
394,THE MESSIAH'S PRAISE,"R. F. M. Mann & James A. Sparks, 1869.",F,major,C3,F5
395,NEW BETHEL,"L. A. McGraw, 1935.",F,major,C3,F5
396,NOTES ALMOST DIVINE,"Paine Denson, 1935.",E,minor,B2,F#5
397,THE FOUNTAIN,"T. J. Denson, 1935.",E,minor,B2,E5
398,THE DYING BOY,"H. S. Reese, 1859.",F,major,C3,A5
399b,HAPPY CHRISTIAN,Arr. - B. E. Cunningham.,A,minor,C3,G5
399t,THE DYING FRIEND,"Lee Wells, 1935.",F#,minor,F#2,F#5
400,STRUGGLE ON,"H. S. Reese, 1859.",E-,major,B-2,G5
401,CUBA,"J. H. Bolen & H. S. Reese, 1859.",G,major,G2,B5
402,PROTECTION (Second),"C. F. Letson, 1869.",E-,major,B-2,F5
403,HEAVENLY REST,"John S. Terry, 1869.",F,major,C3,A5
404,YOUTH  WILL SOON BE  GONE,Composer :,F,major,B-2,G5
405,THE MARCELLAS,"Edmund Dumas, 1859.",E-,major,B-2,G5
406,NEW HARMONY,"M. L. A. Lancaster, 1859.",G,major,D3,G5
407,CHARLTON,"L. P. Breedlove, 1859.",E-,major,B-2,G5
408,WEEPING MARY,"J. P. Reese, 1859.",D,major,A2,F#5
409,PROMISED DAY,"L. M. Ranford, 1859.",F,major,C3,A5
410,MUTUAL LOVE,Composer :,G,major,G2,B5
410t,THE DYING CALIFORNIAN,"Ball and Drinkard, 1859",A,major,A2,E5
411,MORNING PRAYER,"T. J. Denson, 1935.",F#,minor,B2,F#5
412,NEW HOSANNA,Composer :,B-,major,B-2,G5
413,THE LOVED ONES,"Arr. - E. T. Pound, 1859.",C,major,C3,G5
414,PARTING FRIEND,Composer :,G,major,D3,B5
415,EASTER MORN,Composer :,A,major,A2,A5
416,THE CHRISTIAN'S NIGHTLY SONG,"E. T. Pound, 1859.",E,minor,B2,G5
417,WEEPING PILGRIM,"J. P. Reese, 1859.",G,major,G2,G5
418,REESE,"Edmund Dumas, 1859.",D,major,B2,F#5
419,MELANCHOLY DAY,"H. S. Reese, 1859.",F#,minor,C#3,A5
420,BISHOP,Composer,F,major,F2,F5
421,SWEET MORNING,"Arr. - H. S. Rees, 1859.",E,minor,B2,G5
422,BURDETTE,Composer :,F,major,C3,F5
423,GRANTVILLE,"J. P. Reese, 1859.",F#,minor,C#3,G#5
424,SWEET UNION,"J. P. Reese, 1859.",E-,major,A-2,G5
425,GOLDEN STREETS,"J. L. Pickard, 1859.",A,major,A2,F#5
426,JASPER,Composer :,F,major,C3,F5
426t,KELLEY,"Amanda Burdette Denson, 1908.",G,major,D3,G5
428,WORLD UNKNOWN,"H. S. Reese, 1859.",F#,minor,C#3,A5
429,CHRISTIAN'S DELIGHT,Arr. - William L. Williams.,F#,minor,C#3,A5
430,ARBACOOCHEE,"S. M. Denson, 1908",F#,minor,C#3,F#5
431,NEW BETHANY,"B. F. White, Jr., 1869.",F,major,C3,A5
432,CHEVES,"Oliver Bradfield, 1857",F,major,C3,A5
433,McKAY,"S. M. Denson, 1908.",A,minor,A2,A5
434,FILLMORE,"J. P. Reese, 1869.",F,major,C3,A5
435,SACRED REST,"W. D. Jones, 1869.",F,major,C3,F5
436,MORNING SUN,"S. M. Denson, 1911.",E-,major,B-2,E-5
437,SIDNEY,Composer,F,major,C3,A5
438,THE MARRIAGE IN THE SKIES,Composer :,F,major,B-2,F5
439,JORDAN (Second),Composer :,F,major,C3,F5
440,NORTH SALEM,"Stephen Jenks, 1799",E,minor,B2,G5
441,RAYMOND,"John McCurry, 1855.",F,major,C3,G5
442,NEW JORDAN,Composer :,C#,minor,G#2,G#5
444,ALL SAINTS NEW,Composer,D,minor,A2,A5
445,PASSING AWAY,"John A. Watson, 1872.",C,major,C3,G5
446,INFINITE DAY,Composer,F,major,G2,F5
447,WONDROUS CROSS,Composer,E,minor,B2,E5
448,THE GRIEVED SOUL,"M. A. Hendon, 1859.",A,major,A2,A5
448t,CONSECRATION,"William S. Turner, 1866",F#,minor,C#3,F#5
449,FATHERLAND,"Samuel Wakefield,   Arr. - Silas W. Kay, 1855.",G,major,G2,G5
450,ELDER,"M. Mark Wynn, 1869.",E,major,A2,G#5
451,MARY'S GRIEF AND JOY,Composer,G,major,A2,F#5
452,MARTIN,"S. B. Marsh, 1836.",F,major,B-2,D5
453,HOLLY SPRINGS,Composer :,E,minor,B2,F#5
454,THE BETTER LAND,Composer :,B-,major,F2,G5
455,SOAR AWAY,"A. M. Cagle, 1935.",D,minor,A2,F5
456,SACRED MOUNT,Composer :,E,major,B2,G#5
457,WAYFARING STRANGER,"Arr. - John M. Dye, 1935.",F,minor,C3,F5
458,FRIENDSHIP,"E. F. Williams, 1869.",G,minor,G2,G5
459,TOLLING BELL,Composer :,A,major,C#3,E5
460,SARDIS,"Sarah Lawrence, 1869.",G,major,G2,G5
461,SHINING STAR,Composer :,G,major,G2,G5
462,FAITH AND HOPE,Composer :,F,major,C3,F5
463,OUR HUMBLE FAITH,Composer :,F,major,C3,F5
464,SHEPPARD,Composer :,F,major,B-2,G5
465,WHERE THERE'S NO TROUBLE AND SORROW,Composer,F,major,C3,A5
466,HAYNES CREEK,Composer :,E,major,B2,E5
467,LISBON,"Arr. from Daniel Read, 1785.",B-,major,B-2,F5
468,BRISTOL,Composer :,F,major,A2,F5
470,THE MERCY SEAT,Composer :,F,major,C3,F5
471,THE SAVIOR'S NAME,Composer,F,major,C3,F5
472,AKIN,Composer :,C,major,G2,G5
473,CARMARTHEN,,G,major,G2,G5
474,MOUNT DESERT,Composer :,G,major,G2,E5
475,A THANKFUL HEART,Composer :,A,major,A2,F#5
476,THE THRONE OF GRACE,Composer :,F,major,C3,F5
477,"LORD, WE ADORE THEE",Composer :,C,major,G2,G5
478,MY RISING SUN,Composer,F,major,C3,F5
479,CHESTER,Composer :,F,major,C3,F5
480,REDEMPTION,Composer :,F,major,C3,G5
481,NOVAKOSKI,"P. Dan Brittain, 1989.",E,minor,A2,G5
482,MULBERRY GROVE,"J. P. Reese, 1869.",B-,major,B-2,F5
483,ETERNAL LIGHT,Composer :,F,major,C3,F5
484,HEAVENLY UNION,Composer :,E,major,A2,F#5
485,NEW AGATITE,Composer :,F,major,A2,G5
486,BENEFICENCE,Composer,C,major,G2,G5
487,SOLDIER'S DELIGHT,"T. P. Woodard, 1918.",F#,minor,C#3,F#5
488,AS WE GO ON,Composer,F,major,A2,F5
489,THE SAVIOR'S CALL,Composer :,G,major,G2,E5
490,MY SHEPHERD GUIDES,Composer :,G,major,D3,G5
491,"OH, WHAT LOVE",Composer :,C,major,C3,A5
492,INVOCATION (Second),Composer :,B-,major,B-2,F5
493,AMANDA RAY,Composer :,E-,major,B-2,E-5
494,BIG CREEK,Composer,F,major,C3,F5
495,THE MIDNIGHT CRY,"Southern Harmony, 1835.",A,major,A2,F#5
496,THE ROCK THAT IS HIGHER THAN I,Composer :,B-,major,B-2,G5
497,NATICK,Composer :,A,major,A2,F#5
498,THE RESURRECTION DAY,Composer :,E,major,B2,G#5
499,AT REST,Composer :,F,major,C3,A5
500,LIVING HOPE,Hugh W. McGraw.,E,minor,B2,G5
501,O'LEARY,Composer :,G,major,B2,A5
502,A CHARGE TO KEEP,Composer :,F,major,B-2,F5
503,LLOYD,Composer :,F,major,B-2,G5
504,WOOD STREET,"Judy Hauff, 1986",D,minor,F2,G5
505,WHERE CEASELESS AGES ROLL,"R. E. Denson, 1959.",A,minor,A2,A5
506,THE ARK,Composer,E,minor,B2,G5
507,SERMON ON THE MOUNT,Composer,E-,major,B-2,G5
510,CORLEY,Composer :,G,major,G2,G5
511,THE GREAT REDEEMER,Composer,G,major,D3,G5
512,THE SPIRIT SHALL RETURN,Composer :,B-,major,B-2,G5
513,JOYFUL,"Arr. - B. F. White, 1844.",B-,major,B-2,F5
515,FEDERAL STREET,Composer :,A-,major,A-2,F5
516,DeLONG,Composer :,F,major,A2,F5
517,MARS HILL,Composer :,F,major,C3,F5
518,HEAVENLY ANTHEM,"Paine Denson, 1950",E-,major,G2,F5
521,PARTING FRIENDS (Third),Composer,E,major,B2,G#5
522,YE HEEDLESS ONES,Composer :,E,minor,B2,G5
523,PLEYEL'S HYMN (SECOND),Composer :,A,major,A2,F#5
524,THE 23rd PSALM,Composer :,F,major,A2,F5
526,SWEET MAJESTY,Composer :,E,minor,B2,G5
527,MY LIFE AND BREATH,"Hugh W. McGraw, 1959",E-,major,B-2,E-5
528,SHOWERS OF BLESSINGS,"Joseph Stone, 1793.  Arr. - A. A. Blocker, 1959.",B-,major,B-2,F5
530,A GLAD NEW SONG,Composer :,E-,major,B-2,G5
531,DURA,"H. M. Blackmon, 1959",F,major,C3,F5
532,PEACE AND JOY,Composer :,F,major,C3,G5
534,NEW GEORGIA,Composer :,E-,major,A-2,E-5
535,SHAWMUT,"Arr. - E. J. King, 1844.",D,major,A2,D5
538,HAMPTON,Composer,A,major,A2,F#5
539,SUPPLICATION,"Floyd M. Frederick, 1959.",E,minor,B2,G5
540,NIDRAH,Composer :,B-,major,B-2,G5
541,HOME OF THE BLEST,Composer :,F,major,C3,F5
542,I'LL SEEK HIS BLESSINGS,Composer :,A,minor,A2,G5
543,THOU ART GOD,Composer :,E-,major,A-2,G5
544,PRAISE HIM,Composer :,F,major,C3,F5
545,THE PILGRIM'S WAY,"Irene Parker Denson, 545",G,minor,G2,G5
546,MY BRIGHTEST DAYS,Composer :,B-,major,B-2,F5
547,GRANVILLE,"Judy Hauff, 1986",E,minor,A2,G5
548,WOOTTEN,Composer :,F,major,B-2,F5
549,PHILLIPS FAREWELL,Composer :,D,major,A2,F#5
550,BLISSFUL DAWNING,Composer :,F,major,C3,G5
551,JACOB'S VISION,Composer :,F,major,B-2,G5
553,ANTHEM ON THE BEGINNING,"Paine Denson, 1950",E-,major,A-2,G5
556,PORTLAND,Composer :,F,major,C3,G5
558,LIVING STREAMS,"T. B. McGraw, 1959",F,major,C3,A5
560,MY HOME,"H. R. Avery, 1959",F,major,C3,F5
562,INFINITE DELIGHT,"T. B. McGraw, 1959",E,minor,B2,G5
564,ZION,Composer :,E,minor,B2,G5
565,THE HILL OF ZION,"B. F. White, 1859.",A,major,A2,F#5
566,HEBRON,"Lowell Mason, 1823.",B-,major,B-2,G5
567,THE GREAT DAY,Composer :,A,minor,A2,A5
568,I WANT TO GO TO HEAVEN,Composer :,G,major,D3,G5
569,SACRED THRONE (AVON) (THE CHRISTIAN'S DESIRE),"Hugh Wilson, 1764-1834.",B-,major,B-2,F5
569t,EMMAUS,Composer :,F,major,C3,F5
570,FAREWELL TO ALL (Second),"Hugh McGraw, 1985",F,major,C3,F5
571,PENITENCE,"Raymond C. Hamrick, 1966",B-,major,B-2,G5
572,THE LAMB OF GOD,"Priestly Miller, 1966",F,major,B-2,G5
573,HARPETH VALLEY,Composer :,G,major,G2,G5
